Line Description,Tran. Code,Tran. Description,User / ICBA Defined
MONEY MARKET,402,INTEREST PAYMENT OF ISSUED INSTRUMENT,System
MONEY MARKET,403,MATURITY OF ISSUED INSTRUMENT,System
MONEY MARKET,410,DISCOUNT INSTRUMENT,System
MONEY MARKET,411,PURCHASE INSTRUMENT,System
MONEY MARKET,412,SELL INSTRUMENT,System
MONEY MARKET,413,BUY REPO,System
MONEY MARKET,414,SELL REPO,System
MONEY MARKET,420,DISCOUNT MATURED INSTRUMENT,System
MONEY MARKET,421,INT. PAYMENT OF PURCHASED INSTRUMENT,System
MONEY MARKET,422,MATURITY OF PURCHASED INSTRUMENT,System
MONEY MARKET,423,INT. PAYMENT OF SOLD INSTRUMENT,System
MONEY MARKET,424,MATURITY OF SOLD INSTRUMENT,System
MONEY MARKET,425,MATURITY OF SOLD REPO,System
MONEY MARKET,426,MATURITY OF BUY REPO,System
MONEY MARKET,429,REVALUATION INSTRUMENT,System
MONEY MARKET,511,NEW DEPOSIT,System
MONEY MARKET,512,ROLLOVER DEPOSIT,System
MONEY MARKET,518,MISCELLANEOUS TRANS. - CHEQUE,System
MONEY MARKET,519,MISCELLANEOUS TRANS. - JOURNAL,System
MONEY MARKET,521,INTEREST PAYMENT,System
MONEY MARKET,531,MATURE WITHDRAWAL,System
MONEY MARKET,532,PREMATURE WITHDRAWAL,System
MONEY MARKET,550,INTEREST WITHDRAWAL,System
MONEY MARKET,560,VOID DEALS,System
MONEY MARKET,561,REVERSAL,System
MONEY MARKET,611,NEW PLACEMENT,System
MONEY MARKET,612,ROLLOVER PLACEMENT,System
MONEY MARKET,618,FUNDS TRANSFER - CHEQUE,System
MONEY MARKET,619,FUNDS TRANSFER - JOURNAL,System
MONEY MARKET,621,INTEREST PAYMENT,System
MONEY MARKET,631,MATURE WITHDRAWAL,System
MONEY MARKET,632,PREMATURE WITHDRAWAL,System
MONEY MARKET,650,PROFIT WITHDRAWAL,System
MONEY MARKET,661,PREMATURE WITHDRAWAL,System
MONEY MARKET,662,INTEREST WITHDRAWAL,System
MONEY MARKET,663,PRINCIPAL INCREASE,System
MONEY MARKET,664,PRINCIPAL DECREASE,System
MONEY MARKET,665,INTEREST RATE CHANGE,System
MONEY MARKET,666,INTEREST ACCRUE INCREASE,System
MONEY MARKET,667,INTEREST ACCRUE DECREASE,System
MONEY MARKET,669,CHANGE MATURITY DATE,System
MONEY MARKET,699,ACCRUED INTEREST INCOME,System
MONEY MARKET,700,INTEREST ACCRUE EXPENSEE,System
MONEY MARKET,701,UNEARNED INTEREST,System
MONEY MARKET,702,PREMIUM BALANCE,System
REMITTANCE SYSTEM,101,Debit Cash,System
REMITTANCE SYSTEM,102,Debit Cheque,System
REMITTANCE SYSTEM,103,Debit Journal/CASA,System
REMITTANCE SYSTEM,104,TC Claim Thru DD,System
REMITTANCE SYSTEM,105,TC Claim Thru TT,System
REMITTANCE SYSTEM,134,Foreign Cheque Deposit,System
REMITTANCE SYSTEM,135,Force FC Clearance,System
REMITTANCE SYSTEM,201,Credit Cash,System
REMITTANCE SYSTEM,202,Credit Cheque,System
REMITTANCE SYSTEM,203,Credit Journal/CASA,System
REMITTANCE SYSTEM,204,TC Pay Thru DD,System
REMITTANCE SYSTEM,205,TC Pay Thru TT,System
REMITTANCE SYSTEM,299,Remittance Charges,System
REMITTANCE SYSTEM,302,Debit Clearance Return,System
REMITTANCE SYSTEM,305,Foreign Cheque Return,System
REMITTANCE SYSTEM,309,Error Correction,System
REMITTANCE SYSTEM,415,Out TT Refund,System
REMITTANCE SYSTEM,416,Lost DD Refund,System
REMITTANCE SYSTEM,417,Lost BC Refund,System
REMITTANCE SYSTEM,418,Lost TC Refund,System
REMITTANCE SYSTEM,509,Credit Card Reversal,System
REMITTANCE SYSTEM,510,Issuance of Fund Transfer,System
REMITTANCE SYSTEM,610,Issuance of Telegraphic Transfer,System
REMITTANCE SYSTEM,620,Issuance of Demand Draft,System
REMITTANCE SYSTEM,630,Issuance of Banker's Cheque,System
REMITTANCE SYSTEM,650,Sale of Traveller's Cheque,System
REMITTANCE SYSTEM,660,Sale of Precious Metal,System
REMITTANCE SYSTEM,670,Sale of Foreign Currency,System
REMITTANCE SYSTEM,700,Credit Card Reimbursement Claim,System
REMITTANCE SYSTEM,701,Credit Card Cash Advance,System
REMITTANCE SYSTEM,710,Encashment of Telegraphic Transfer,System
REMITTANCE SYSTEM,720,Encashment of Demand Draft,System
REMITTANCE SYSTEM,730,Encashment of Banker's Cheque,System
REMITTANCE SYSTEM,750,Encashment of Traveller's Cheque,System
REMITTANCE SYSTEM,755,Inventory Stock In/Out,System
REMITTANCE SYSTEM,760,Purchase of Precious Metal,System
REMITTANCE SYSTEM,770,Purchase of Foreign Currency,System
REMITTANCE SYSTEM,780,Re-Purchase of Demand Draft,System
REMITTANCE SYSTEM,790,Re-Purchase of Banker's Cheque,System
REMITTANCE SYSTEM,801,Re-Print BC/DD/Receipt,System
REMITTANCE SYSTEM,820,Debit Clearance - DD,System
REMITTANCE SYSTEM,830,Debit Clearance - BC,System
SAVINGS ACCOUNT,101,Cash Deposit With Book,User
SAVINGS ACCOUNT,102,Cheque Deposit With Book,User
SAVINGS ACCOUNT,103,Journal Deposit With Book,User
SAVINGS ACCOUNT,104,MO/PO Deposit With Book,User
SAVINGS ACCOUNT,105,MO/PO Deposit Without Book,User
SAVINGS ACCOUNT,106,Late Cheque Deposit,User
CURRENT ACCOUNT,703,ATM/TELEBANKING Transfer In,System
SAVINGS ACCOUNT,108,Cheque Deposit Without Book,User
SAVINGS ACCOUNT,109,Journal Deposit Without Book,User
SAVINGS ACCOUNT,114,House Cheque Deposit With Book,User
SAVINGS ACCOUNT,115,House Cheque Deposit Without Book,User
SAVINGS ACCOUNT,120,Bulk Cheque Deposit,User
SAVINGS ACCOUNT,122,Marked Cheque Deposit,User
SAVINGS ACCOUNT,132,OCP Deposit With Book,User
SAVINGS ACCOUNT,133,LCP Deposit With Book,User
SAVINGS ACCOUNT,134,Foreign Cheque Deposit,User
SAVINGS ACCOUNT,135,Force Clearance on Foreign Chq/FCP,User
SAVINGS ACCOUNT,136,FCP Deposit With Book,User
SAVINGS ACCOUNT,142,OCP Deposit Without Book,User
SAVINGS ACCOUNT,143,LCP Deposit Without Book,User
SAVINGS ACCOUNT,146,FCP Deposit Without Book,User
SAVINGS ACCOUNT,182,Force Clearance On Cheque,User
SAVINGS ACCOUNT,184,Force Clearance On MO/PO,User
SAVINGS ACCOUNT,186,Make 1 Day Float Clearance,System
SAVINGS ACCOUNT,189,DIRECT CREDIT,System
SAVINGS ACCOUNT,192,Auto Cheque Clearance,System
SAVINGS ACCOUNT,193,INTEREST,System
SAVINGS ACCOUNT,198,Salary Cheque (Employee),System
SAVINGS ACCOUNT,1CO,Debit Passbook Consolidated,System
SAVINGS ACCOUNT,201,Cash Withdrawal With Book,User
SAVINGS ACCOUNT,202,Cheque Withdrawal With Book,User
SAVINGS ACCOUNT,203,Journal Withdrawal With Book,User
SAVINGS ACCOUNT,703,ATM/TELEBANKING Transfer In,System
SAVINGS ACCOUNT,208,Cheque Withdrawal Without Book,User
CURRENT ACCOUNT,708,ATM Withdrawal,System
SAVINGS ACCOUNT,210,Balance Below Zero,System
SAVINGS ACCOUNT,240,Close Account,User
SAVINGS ACCOUNT,241,Close Account By Cash,System
SAVINGS ACCOUNT,242,Close Account By Cheque,System
SAVINGS ACCOUNT,243,Close Account By Journal,System
SAVINGS ACCOUNT,289,DIRECT DEBIT,System
SAVINGS ACCOUNT,292,Bank Commission Charges,System
SAVINGS ACCOUNT,294,Inward Return Charges,System
SAVINGS ACCOUNT,296,Witholding Tax,System
SAVINGS ACCOUNT,297,Bill Payment,System
SAVINGS ACCOUNT,298,Salary Cheque Return (Employee),System
SAVINGS ACCOUNT,708,ATM Withdrawal,System
SAVINGS ACCOUNT,2CO,Credit Passbook Consolidated,System
SAVINGS ACCOUNT,302,Cheque Return,User
SAVINGS ACCOUNT,303,Cheque Return After Clearance,System
SAVINGS ACCOUNT,304,Reversal of Inward Return,System
SAVINGS ACCOUNT,305,Foreign Cheque Return,User
SAVINGS ACCOUNT,306,MO/PO Return,User
SAVINGS ACCOUNT,309,Error Correction,User
SAVINGS ACCOUNT,401,Open New Account,User
SAVINGS ACCOUNT,411,Replace Old Passbook,User
